token	frequency	error
dua	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
etc	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
facebook	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
fayda	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gandi	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
garam	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ghum	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gyan	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
haa	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hahah	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hawa	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hogaye	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
humein	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
humse	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
inhone	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
into	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
iphone	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaakar	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jadeja	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jb	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jhoot	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jitne	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kaale	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kaan	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kapil	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kash	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khaana	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khate	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khaye	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khelta	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khilaf	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lanka	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
majak	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
mandal	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
marne	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
milkar	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
milke	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
msd	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
muje	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
mujhko	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nainkatary	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nautanki	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nikla	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
paap	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
patakhe	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
phool	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
piche	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pootna	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rah	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rehne	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rehti	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
saalo	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sabha	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sabke	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sagarikaghose	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
samjho	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
san	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sara	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sawaal	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sri	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
taang	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
talaq	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tatti	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tujh	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
uth	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
without	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
zameen	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
aadhe	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
aahe	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
aashirwad	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
achchi	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
amitabh	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
apke	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bachchan	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bechara	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bewakoof	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhare	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhole	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhook	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhot	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bigad	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
celeb	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chalti	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
choti	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chutiye	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
congrats	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dala	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dashhtweets	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
doosri	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
durr	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dusro	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gf	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gurgaon	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
haalat	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
halat	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hara	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
horaha	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hy	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
intezar	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ismein	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaag	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaanch	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaanta	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaenge	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jald	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jawaab	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kaala	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kahenge	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
karunga	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kehti	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khatm	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khela	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khelte	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
knicks	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kripa	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kyonki	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ladai	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
laddu	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lagata	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lagte	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lamba	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
luv	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
maarne	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
maarte	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
maggi	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
marte	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
naha	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
naukri	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nikle	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
padhne	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pandya	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
peeta	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
piya	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pucha	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rahane	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rone	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
salu	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
satya	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sharab	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sim	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sudhar	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sunte	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
supw	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
swagat	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tareef	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
thak	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
udhar	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
until	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
usme	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
vadra	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
yuvraj	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
zarurat	9	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
aadhi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
abey	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
akela	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ata	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
azaadi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
baarish	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bachi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
badha	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
badnaam	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
banate	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bataya	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bedi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bekar	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bf	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhaag	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhag	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhikari	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bna	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
buri	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
burnol	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
cheen	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chhe	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chipka	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chote	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
darshan	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
deepika	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dev	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dhokha	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dukh	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
duper	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dur	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
during	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
garmi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ghamand	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gir	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hafte	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
haq	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hinnaz	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
iamkits	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
iamsonisinghal	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
iitb	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ind	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
insan	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaage	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaha	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaiye	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jama	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaunga	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jeena	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jeene	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jeete	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jeetne	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jha	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jisko	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
joote	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kahe	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kaho	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kahte	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
karde	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
karegi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
katrina	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kaunse	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kavitabika	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kehne	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khila	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khul	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khulla	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kiran	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
laal	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
laddoo	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ladkon	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lagana	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lagane	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
launda	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
launde	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
leni	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lga	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
likhe	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
lunga	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
masala	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
misbah	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
mitch	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
naahi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
namak	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nasha	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nikaal	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
padte	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
padti	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pandey	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pareshaan	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
patthar	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pehen	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pehna	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
phenk	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
phle	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
plzz	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pooja	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pradesh	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
prem	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rahegi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rahenge	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rai	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rayta	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rehna	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rishta	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rok	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
roshd	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rula	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rulayega	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sada	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sanjay	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
selfie	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
shivay	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
shobha	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
smogindelhi	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sonam	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sote	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tanmay	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
taqleef	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
thakur	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
thats	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tk	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
toastingtoaster	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tukde	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
tumlog	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ulti	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
umeed	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
uttar	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
which	8	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
