token	frequency	source	devanagari_candidate_1	devanagari_candidate_2	devanagari_candidate_3	devanagari_candidate_4
mili	25	pilot_pool	मिली	मिलि	मीली	मिलीं
neend	25	pilot_pool	नींद	निंद	नीन्द	निन्द
reh	25	pilot_pool	रेह	रह	रीह	रिह
socha	25	pilot_pool	सोचा	सोच	सौचा	शोचा
wahan	25	pilot_pool	वाहन	वहन	वहान	वहां
aaja	24	pilot_pool	आजा	आज	अजा	आज़ा
aam	24	pilot_pool	आम	एएम	आम्‌	अम
achche	24	pilot_pool	अच्छे	अच्चे	अछ्छे	अछे
bachpan	24	pilot_pool	बचपन	बचपान	बाचपन	बैचपन
gaadi	24	pilot_pool	गाड़ी	गादी	गाडी	गाड़ि
hoon	24	pilot_pool	हूँ	हूं	हून	हुन
jayegi	24	pilot_pool	जाएगी	जयेगी	जएगी	जाएगि
kehte	24	pilot_pool	कहते	केहते	केहटे	कहटे
krne	24	pilot_pool	करने	कर्णे	कर्ने	केआरने
raho	24	pilot_pool	रहो	राहो	रहों	रेहो
sarkaar	24	pilot_pool	सरकार	सर्कार	सारकार	सरकर
ham	24	override_list	हम	हैम	हाम	हम्‌
apko	23	pilot_pool	आपको	अपको	अपकों	आपकों
chali	23	pilot_pool	चली	चाली	चलि	छली
dekhte	23	pilot_pool	देखते	देख्ते	देख़ते	देखतें
denge	23	pilot_pool	देंगे	डेंगे	देंगें	ढेंगे
deti	23	pilot_pool	देती	डेटी	देति	डेती
farzipatrakarravishkumar	23	pilot_pool	फर्जीपत्रकारराविषकुमार	फर्जीपत्रकारराविशकुमार	फर्जीपत्रकाररविषकुमार	फरजीपत्रकारराविशकुमार
izzat	23	pilot_pool	इज्जत	इज्ज़त	इज़्ज़त	इजत
keh	23	pilot_pool	केह	कह	के	कीह
milte	23	pilot_pool	मिलते	मिल्ते	मिल्टे	मिलटे
mujhse	23	pilot_pool	मुझसे	मुज़से	मुझ्से	मूझसे
paaji	23	pilot_pool	पाजी	पाज़ी	पाँजी	पाजि
prabhu	23	pilot_pool	प्रभु	प्रभू	परभु	प्राभु
sabhi	23	pilot_pool	सभी	सभि	साभी	साभि
sallu	23	pilot_pool	सल्लू	सल्लु	सालू	सलू
sarkar	23	pilot_pool	सरकार	सरकर	सारकर	सर्कर
walon	23	pilot_pool	वालों	वालोन	वलों	वॉलन
baj	22	pilot_pool	बाज	बज	बज्‌	बज़
balliawalebaba	22	pilot_pool	बल्लियावालेबाबा	बलियावालेबाबा	बल्लियावलेबाबा	बलियावलेबाबा
banaya	22	pilot_pool	बनाया	बानाया	बनया	बनायां
dar	22	pilot_pool	दर	दार	डार	दर्‌
gyi	22	pilot_pool	गी	ग्यी	ज्ञी	ग्यि
hamara	22	pilot_pool	हमारा	हमरा	हमारे	हामरा
hogayi	22	pilot_pool	होगाई	होगयी	होगई	होगाइ
imvkohli	22	pilot_pool	इम्वकोहली	इमवकोहली	इंवकोहली	इम्वकोहलि
isme	22	pilot_pool	इसमे	इसमें	इस्मे	इस्में
jaega	22	pilot_pool	जाएगा	जैगा	जेगा	जएगा
jaisi	22	pilot_pool	जैसी	जेसी	जाइसी	जयसी
kyunki	22	pilot_pool	क्यूंकि	क्यूंकी	क्युंकी	क्युनकी
mahadev	22	pilot_pool	महादेव	महदेव	माहदेव	महादेब
mannkibaat	22	pilot_pool	मनकीबात	मन्नकीबात	मन्नकिबात	मननकीबात
milti	22	pilot_pool	मिलती	मिल्टी	मिल्ती	मिलटी
pakka	22	pilot_pool	पक्का	पक्क	पका	पाका
peeche	22	pilot_pool	पीछे	पीचे	पींछे	पींचे
peene	22	pilot_pool	पीने	पीणे	पीनें	पिने
poori	22	pilot_pool	पूरी	पूरि	पुरी	पोरी
sachin	22	pilot_pool	सचिन	सचीन	साचिन	सचीं
sar	22	pilot_pool	सर	सार	सर्‌	सार्‌
scratchysingh	22	pilot_pool	स्क्रैचीसिंह	स्क्रेचीसिंह	स्क्राचीसिंह	स्क्रैचिसिंह
singhlicious	22	pilot_pool	सिंघलिशियस	सिंघलीशियस	सिंहलिशियस	सिंहलीशियस
thik	22	pilot_pool	थिक	ठीक	ठिक	तिक
unke	22	pilot_pool	उनके	उंके	ऊंके	ऊनके
zaroorat	22	pilot_pool	ज़रूरत	जरूरत	ज़ारूरत	ज़रुरत
zoomphatak	22	pilot_pool	ज़ूमफटक	ज़ूमफाटक	ज़ूमफ़टक	जूमफाटक
aanchalator	21	pilot_pool	आंचलतोर	आँचलतोर	आंचलटोर	आँचलटोर
aapse	21	pilot_pool	आपसे	आप्से	आपसें	अपसे
aayi	21	pilot_pool	आई	आयी	आइ	आयि
advancedmaushi	21	pilot_pool	एडवांस्डमौशी	अडवांस्डमौशी	एडवांसडमौशी	एडवांस्डमौशि
badhai	21	pilot_pool	बढाई	बधाई	बढई	बढ़ै
badliyesarkarbadliyebihar	21	pilot_pool	बदलियेसरकारबदलियेबिहार	बदलियेसरकारबदलीयेबिहार	बदलीयेसरकारबदलियेबिहार	बदलियेसरकारबदलिएबिहार
banane	21	pilot_pool	बनने	बनाने	बानने	बननें
bhaiyyajispeaks	21	pilot_pool	भैय्याजिस्पीक्स	भैय्याजिसपीक्स	भैय्याजीस्पीक्स	भैय्याजीसपीक्स
chahe	21	pilot_pool	चाहे	चहे	छहे	चहें
daru	21	pilot_pool	दारू	दारु	डारू	दरू
dila	21	pilot_pool	दिला	दीला	डिला	दिलां
huee	21	pilot_pool	हुई	हूई	हुए	हुइ
indvsaus	21	pilot_pool	इंडवसॉस	इंडव्सॉस	इंडवसास	इंडवसौस
jee	21	pilot_pool	जी	जेई	जे	जि
jita	21	pilot_pool	जीता	जिता	जीत	जित
kara	21	pilot_pool	करा	कर	कार	कर्‌
ladkiya	21	pilot_pool	लड़किया	लडकिया	लड्किया	लड़कीय
ladkiyo	21	pilot_pool	लड़कियो	लडकियों	लडकियो	लड़किओ
rahega	21	pilot_pool	रहेगा	रहगा	रहेग	रहेगे
rehte	21	pilot_pool	रहते	रेहते	रेहटे	रहटे
zaroori	21	pilot_pool	ज़रूरी	जरूरी	ज़रुरी	ज़रूरि
aye	20	pilot_pool	आये	आए	अये	अए
bhagwaan	20	pilot_pool	भगवान	भगवान्‌	भगवां	भागवान
bizzarebhide	20	pilot_pool	बिज्जारेभिडे	बिज्ज़ारेभिडे	बिज्जरेभिडे	बिज़्ज़ारेभिडे
bunlimted	20	pilot_pool	बनलिम्टेड	बनलिमटेड	बनलिम्टिड	बनलिंटेड
chalega	20	pilot_pool	चलेगा	चालेगा	छलेगा	चलेग
chor	20	pilot_pool	चोर	छोर	चौर	कोर
gaaliya	20	pilot_pool	गालिया	गलिया	गालिय	गालीय
gareeb	20	pilot_pool	गरीब	ग़रीब	गारीब	गरिब
ghanta	20	pilot_pool	घंटा	घण्टा	घन्टा	घांटा
goodbyenitishkumar	20	pilot_pool	गुडबाइनिटिशकुमार	गुडब्येनिटिशकुमार	गुडबायनिटिशकुमार	गुडबायनीतीशकुमार
humne	20	pilot_pool	हमने	हुमने	हम्ने	हमनें
inke	20	pilot_pool	इनके	इंके	ईंके	इंक
inko	20	pilot_pool	इनको	इंको	इन्को	इंकों
isliye	20	pilot_pool	इसलिए	इसलिये	इस्लिए	इस्लीए
kaat	20	pilot_pool	काट	कात	कॉट	कट
karni	20	pilot_pool	करनी	कर्णी	कर्नी	कारनी
kon	20	pilot_pool	कोन	कों	कोण	कॉन
pade	20	pilot_pool	पड़े	पदे	पडे	पाडे
padi	20	pilot_pool	पड़ी	पदी	पाडी	पडी
puch	20	pilot_pool	पूछ	पुच	पुछ	पच
rhi	20	pilot_pool	रही	रहि	र्ही	ढ़ी
rowdytalks	20	pilot_pool	राउडीताल्क्स	राउडीटाल्क्स	राउडीतालक्स	राउडीताल्कों
ruchikokcha	20	pilot_pool	रुचिकोकचा	रूचिकोकचा	रुचीकोकचा	रुचिकोक्चा
saamne	20	pilot_pool	सामने	साम्ने	सामनें	सांने
shayad	20	pilot_pool	शायद	शयाद	शयद	शायाद
tabhi	20	pilot_pool	तभी	ताभी	तभि	टाभी
thode	20	pilot_pool	थोड़े	थोडे	थोदे	थोड
usne	20	pilot_pool	उसने	उस्ने	ऊसने	उसनें
aagaya	19	pilot_pool	आगया	आगय	आगाया	अगया
aansu	19	pilot_pool	आंसू	आँसू	आंसु	आँसु
arunjaitley	19	pilot_pool	अरुणजेटली	अरुणजैतले	अरुणजैतली	अरुंजैतले
aya	19	pilot_pool	आया	अया	एया	अय
dekhi	19	pilot_pool	देखी	देखि	देखीं	डेखी
dimag	19	pilot_pool	दिमाग	दिमग	डिमाग	दीमाग
dont	19	pilot_pool	डोंट	डॉन्ट	डोन्ट	दोंत
dosti	19	pilot_pool	दोस्ती	दोस्ति	दोसती	डोस्टी
emo	19	pilot_pool	ईएमओ	इएमओ	इमो	एमो
ghante	19	pilot_pool	घंटे	घण्टे	घांटे	घन्टे
govt	19	pilot_pool	गोवत	गोव्ट	गॉव्ट	गोव्त
hardik	19	pilot_pool	हार्दिक	हार्डिक	हारदिक	हरदिक
jane	19	pilot_pool	जाने	जने	जेन	जनें
kaisa	19	pilot_pool	कैसा	कइसा	कैस	केसा
karoge	19	pilot_pool	करोगे	करोगें	कारोगे	करोग
khaane	19	pilot_pool	खाने	खाणे	खानें	खांने
kyon	19	pilot_pool	क्यों	क्योन	कयों	कयोन
lagti	19	pilot_pool	लगती	लागती	लग्ती	लगटी
maan	19	pilot_pool	मान	माँ	मां	माण
makeinindia	19	pilot_pool	मेकइनइंडिया	मेकिनइंडिया	मेकेनइंडिया	मेकनइंडिया
mohit	19	pilot_pool	मोहित	मोहीत	महित	मोहिट
namah	19	pilot_pool	नमाह	नमः	नमह	नामा
ndtv	19	pilot_pool	एनडीटीवी	एनडीटीव	एनडिटीवी	एनडीटीभी
pehli	19	pilot_pool	पहली	पेहली	पहेली	पाहली
priyancabajaj	19	pilot_pool	प्रियंकाबाजाज	प्रियंकाबजाज	प्रियंकाबाजज	प्रियांकाबाजज
saaf	19	pilot_pool	साफ	साफ़	सॉफ	सफ
unko	19	pilot_pool	उनको	उनकों	उंको	उन्को
bt	19	override_list	बीट	बीत	बिट	बट
badh	18	pilot_pool	बढ़	बाध	बध	बढ
baith	18	pilot_pool	बैठ	बैथ	बेथ	बाइथ
bakwaas	18	pilot_pool	बकवास	बक्वास	बाकवास	बखवास
banaye	18	pilot_pool	बनाए	बनाये	बनाएं	बनाएँ
beingsalmankhan	18	pilot_pool	बेइंगसलमानखान	बेइंगसल्मानखान	बैंगसलमानखान	बेइंगसलमानखां
bhakt	18	pilot_pool	भक्त	भक्त्‌	बक्त	भकत
chahte	18	pilot_pool	चाहते	चहते	चाहटे	छहते
darr	18	pilot_pool	दर्र	दर	डर्र	डार
hadh	18	pilot_pool	हद	हाध	हध	हढ़
hahahaha	18	pilot_pool	हहहहा	हहाहाहा	हहहाहा	हहहहाहा
honi	18	pilot_pool	होनी	होनि	होणी	हॉनी
iit	18	pilot_pool	आईआईटी	आइआईटी	इट	इत
ipl	18	pilot_pool	आईपीएल	आइपीएल	ईपीएल	इपीएल
jaana	18	pilot_pool	जाना	जान	जाणा	ज़ाना
jaegi	18	pilot_pool	जाएगी	जेगी	जैगी	जएगी
kaisi	18	pilot_pool	कैसी	काइसी	कैसि	कइसी
karan	18	pilot_pool	कारण	करन	करण	करान
kisne	18	pilot_pool	किसने	किस्ने	कीसने	किसनें
ladka	18	pilot_pool	लड़का	लडका	लड़के	लदका
nitishkachehradiveshsehra	18	pilot_pool	नितीष्कचेहरादिवेशसेहरा	नितिष्कचेहरादिवेशसेहरा	नितीशकचेहरादिवेशसेहरा	नितीष्काचेहरादिवेशसेहरा
pmoindia	18	pilot_pool	पीएमओइंडिया	पिएमओइंडिया	पीएमओइन्डिया	पीमोइंडिया
roti	18	pilot_pool	रोटी	रोती	रोति	रोटि
shaan	18	pilot_pool	शान	शाँ	शां	शाण
shadi	18	pilot_pool	शादी	शादि	शदी	शाडी
shukriya	18	pilot_pool	शुक्रिया	शुक्रिय	शुक्रीय	शुकरिया
tumse	18	pilot_pool	तुमसे	तुम्से	तमसे	टुमसे
umar	18	pilot_pool	उमर	उमार	उम्र	ऊमर
unka	18	pilot_pool	उनका	उंका	उन्का	ऊंका
aankh	17	pilot_pool	आंख	आँख	अंख	आंक
aayegi	17	pilot_pool	आएगी	आयेगी	आइएगी	आयगी
aj	17	pilot_pool	अज	आज	अज्‌	एजे
amit	17	pilot_pool	अमित	अमीत	आमित	अमिट
anushka	17	pilot_pool	अनुष्का	अनुष्क	अनुश्का	आनुष्का
badhiya	17	pilot_pool	बढ़िया	बढिया	बधिया	बाधिया
bhul	17	pilot_pool	भूल	भुल	बुल	भल
biharkajaichandshatrughan	17	pilot_pool	बिहारकाजैचंदशत्रुघ्न	बिहारकाजाईचंदशत्रुघ्न	बिहारकाजयचंदशत्रुघ्न	बिहारकाजयचन्दशत्रुघ्न
bolna	17	pilot_pool	बोलना	बोलणा	बोल्न	बोलन
dikha	17	pilot_pool	दिखा	दीखा	दिख	डिखा
drpoonam	17	pilot_pool	दर्पूनम	दर्पूणम्‌	द्र्पूणम	द्रपूनम
du	17	pilot_pool	डू	दू	दु	दूं
eid	17	pilot_pool	ईद	ईड	इड	ईड्‌
gayab	17	pilot_pool	गायब	गयाब	ग़ायब	गयब
huwe	17	pilot_pool	हुवे	हूवे	हुवें	हवे
khade	17	pilot_pool	खड़े	खडे	खादे	खाडे
khoon	17	pilot_pool	खून	खूँ	खूं	खुन
lalu	17	pilot_pool	लालू	लालु	ललू	ललु
lenge	17	pilot_pool	लेंगे	लैंगे	लेंग	लंगे
leti	17	pilot_pool	लेती	लेटी	लेति	लेटि
sambhal	17	pilot_pool	संभाल	संभल	सांभल	सम्भल
those	17	pilot_pool	ठोसे	थोस	थोसे	थोज
unki	17	pilot_pool	उनकी	उंकी	ऊंकी	उँकी
usi	17	pilot_pool	उसी	ऊसी	उसि	यूएस
waale	17	pilot_pool	वाले	वाली	वाएल	वाल
waha	17	pilot_pool	वाहा	वहा	वह	वाह
wajah	17	pilot_pool	वजह	वजाह	वाजह	वाजा
apki	16	pilot_pool	आपकी	अपकी	अप्कि	अप्की
arey	16	pilot_pool	अरे	आरे	एरे	अरेय
awaaz	16	pilot_pool	अवाज़	आवाज	आवाज़	अवाज
baitha	16	pilot_pool	बैठा	बैठ	बैथा	बेथा
chaiye	16	pilot_pool	चैये	चाइए	चइये	चैए
chhota	16	pilot_pool	छोटा	छोटे	छोट	छोता
chori	16	pilot_pool	चोरी	छोरी	चोरि	चौरी
chuke	16	pilot_pool	चुके	चूके	छुके	चके
chuki	16	pilot_pool	चुकी	चूकी	चुकि	छुकी
dino	16	pilot_pool	दिनो	डिनो	दीनो	डीनो
haaye	16	pilot_pool	हाए	हाये	हाएं	हाएँ
hadd	16	pilot_pool	हैड	हद्द	हेड	हड्ड
haramiparindey	16	pilot_pool	हरामीपरिंदे	हरामीपरिंदेय	हरमीपरिंदे	हरमीपरिंदेय
hath	16	pilot_pool	हाथ	हथ	हठ	हत
humko	16	pilot_pool	हमको	हुमको	हम्को	हमकों
incindia	16	pilot_pool	इंसिंडिया	इनसिंडिया	इन्सिंडिया	इंसिन्डिया
ishq	16	pilot_pool	इश्क	इश्क़	इस्क	इशक
kaash	16	pilot_pool	काश	काष	क़ाश	कास
kai	16	pilot_pool	कई	काई	कै	काइ
kajubadamchor	16	pilot_pool	काजूबदमचोर	काजूबादमचोर	काजुबदमचोर	काजुबादमचोर
kamaal	16	pilot_pool	कमाल	कमल	खमाल	कामल
kardo	16	pilot_pool	कार्डो	करदो	कर्दो	कर्डो
karu	16	pilot_pool	करू	कारू	करु	कारु
kidhar	16	pilot_pool	किधर	कीधार	कीधर	किधार
maal	16	pilot_pool	माल	मूल	मॉल	मल
milega	16	pilot_pool	मिलेगा	मिलेग	मीलेगा	मिलगा
msdhoni	16	pilot_pool	मसधोनी	मस्धोनी	एमएसडीहोनी	मोसधोनी
mushkil	16	pilot_pool	मुश्किल	मुशकिल	मुश्कील	मुस्किल
oinkoo	16	pilot_pool	ओइंकू	ओइनकू	ओइन्कू	ओइंको
padhai	16	pilot_pool	पढाई	पढई	पढ़ै	पढै
pappu	16	pilot_pool	पप्पू	पापू	पपू	पपु
poore	16	pilot_pool	पूरे	पुरे	पोरे	पूर
rahulonleave	16	pilot_pool	राहुलोनलीव	राहुलोंलीव	राहूलोनलीव	राहुलोनलिव
saara	16	pilot_pool	सारा	सार	सरा	सार्‌
samjha	16	pilot_pool	समझा	समझ	सामझा	संझा
sardesairajdeep	16	pilot_pool	सरदेसाईराजदीप	सरदेसाइराजदीप	सरदेसायराजदीप	सरदेसईराजदीप
sayshardik	16	pilot_pool	सायशारदिक	सायशार्दिक	सयशारदिक	सयशार्दिक
srbachchan	16	pilot_pool	सरबच्चन	श्रबच्चन	श्र्बच्चन	सर्बच्छन
ttrinadasgupta	16	pilot_pool	त्रिनदासगुप्त	तृणदासगुप्त	त्तृणदासगुप्त	तृणदासगुप्ता
utha	16	pilot_pool	उठा	उथा	उठ	ऊठा
aadat	15	pilot_pool	आदत	आदात	आड़त	अदत
aajtak	15	pilot_pool	आजतक	आज्तक	आजटक	आजातक
aakhir	15	pilot_pool	आखिर	आखीर	अखीर	अखिर
aankhon	15	pilot_pool	आंखों	आँखों	आँखो	आंखो
aansoo	15	pilot_pool	आंसू	आँसू	आंसु	आँसु
acche	15	pilot_pool	अच्छे	अच्चे	अछे	अचे
apka	15	pilot_pool	आपका	अपका	अप्का	अपकां
asli	15	pilot_pool	असली	अस्ली	आसली	अस्लि
babafirki	15	pilot_pool	बाबाफिरकी	बाबाफिर्की	बाबाफीरकी	बाबाफिर्कि
bhaiyya	15	pilot_pool	भैय्या	भैया	भइय्या	भैय्य
bloodykamina	15	pilot_pool	ब्लडीकामिना	ब्लडीकमीना	ब्लडीकमिना	ब्लडीकामीना
bro	15	pilot_pool	ब्रो	बरो	ब्रू	ब्रॉ
delhismog	15	pilot_pool	दिल्लीसमोग	डेल्हिसमोग	डेल्हीसमोग	दिल्लीस्मोग
dikh	15	pilot_pool	दिख	दीख	डिख	दिक
dusre	15	pilot_pool	दूसरे	दुसरे	दसरे	डुसरे
engineeroholic	15	pilot_pool	इंजिनियरोहोलिक	इंजीनियरोहोलिक	इंजिनियरोहॉलिक	इंजीनियरोहॉलिक
gabbbarsingh	15	pilot_pool	गब्बरसिंह	गब्ब्बरसिंह	गब्बारसिंह	गब्बारसिंग
hashtag	15	pilot_pool	हैशटैग	हैश्टैग	हैशटेग	हाश्टैग
humare	15	pilot_pool	हमारे	हुमरे	हमरे	हुमार
huwa	15	pilot_pool	हुवा	हुआ	हूवा	हवा
jawab	15	pilot_pool	जवाब	जावब	जावाब	जवब
jisne	15	pilot_pool	जिसने	जिस्ने	जीसने	जिसनें
kachua	15	pilot_pool	कछुआ	कचुआ	काचुआ	काछुआ
kamal	15	pilot_pool	कमल	कमाल	कामल	कामाल
kay	15	pilot_pool	के	काय	केए	कय
khabar	15	pilot_pool	खबर	खाबर	खबार	ख़बर
khayal	15	pilot_pool	खयाल	ख़याल	खायल	खैयाल
khuda	15	pilot_pool	खुदा	खुड़ा	खुडा	खूदा
kia	15	pilot_pool	किया	किआ	कीआईए	किआईए
ledtvn	15	pilot_pool	लेडटिवन	लेडटीवीन	लेडत्वं	लेडटिवीन
maam	15	pilot_pool	माम	मां	माँ	माम्‌
maang	15	pilot_pool	मांग	माँग	मंग	मैंग
naye	15	pilot_pool	नये	नाए	नई	नेय
neeche	15	pilot_pool	नीचे	नीचें	निचे	नीछे
obama	15	pilot_pool	ओबामा	उबामा	ओबमा	ओबाम
omg	15	pilot_pool	ओएमजी	ओमग	ओम्ग	आम्ग
pada	15	pilot_pool	पड़ा	पदा	पाडा	पाड़
samne	15	pilot_pool	सामने	समने	सम्ने	समनें
shri	15	pilot_pool	श्री	श्रि	शरी	शृ
sureshpprabhu	15	pilot_pool	सुरेशप्रभु	सुरेशप्प्रभु	सुरेश्पप्रभु	सुरेशप्रभू
thand	15	pilot_pool	ठंड	थांड	थंड	ठण्ड
tujhse	15	pilot_pool	तुझसे	तूझसे	तुझ्से	तुझसें
vikas	15	pilot_pool	विकास	विकस	विकाश	विका
wah	15	pilot_pool	वाह	वह	वाह्‌	वह्‌
zinda	15	pilot_pool	जिंदा	ज़िंदा	ज़िन्दा	जिन्दा
aayee	14	pilot_pool	आई	आयी	आइ	आईं
angryoungwoman	14	pilot_pool	एंग्रयंगवुमन	एंग्र्यूंगवुमन	एंग्रियंगवुमन	एंग्रीयंगवुमन
ashutosh	14	pilot_pool	आशुतोष	अशुतोष	आशूतोष	आसुतोष
baithe	14	pilot_pool	बैठे	बैथे	बैठें	बेथे
bete	14	pilot_pool	बेटे	बेते	बेटी	बते
chacha	14	pilot_pool	चाचा	चचा	छाचा	चाछा
chakkar	14	pilot_pool	चक्कर	चक्कार	छक्कर	चकर
dega	14	pilot_pool	देगा	डेगा	डिगा	देग
dekhta	14	pilot_pool	देखता	देख्ता	देख़ता	डेखता
didi	14	pilot_pool	दीदी	दिदी	डिडी	दिदीं
dijiye	14	pilot_pool	दीजिए	दीजिये	दिजिए	दिजिये
gaaliyan	14	pilot_pool	गालियां	गालियाँ	ग़ालियां	गालिया
gai	14	pilot_pool	गई	गाई	गै	गाइ
ghatiya	14	pilot_pool	घटिया	घाटिया	घटियाँ	घटियां
isne	14	pilot_pool	इसने	ईसने	इसनें	इस्ने
jhasanjay	14	pilot_pool	झसंजय	झासंजय	जहसंजय	झासंजे
jitna	14	pilot_pool	जितना	जीतना	जित्ना	जित्न
kamaalrkhan	14	pilot_pool	कमालरखान	कमालरखन	कमालर्खन	कमाल्रखन
khelne	14	pilot_pool	खेलने	खेल्ने	खेलनें	खलने
kisko	14	pilot_pool	किसको	किस्को	किसकों	कीस्को
klpe	14	pilot_pool	कल्पे	कोल्पे	कोलपे	कोल्पी
kutta	14	pilot_pool	कुट्टा	कट्टा	कुट्ट	कुटा
mazaak	14	pilot_pool	मज़ाक	मजाक	मझाक	मज़क
melotus	14	pilot_pool	मेलोटस	मिलोटस	मैलोटस	मेलोतस
milna	14	pilot_pool	मिलना	मिल्ना	मिल्न	मीलना
nickhunterr	14	pilot_pool	निकहंटर	निकहन्टर	निक्हंटर	निकहंटेर
oye	14	pilot_pool	ओये	ओए	ओय	ओइ
padegi	14	pilot_pool	पड़ेगी	पडेगी	पदेगी	पड़ेगि
pareshan	14	pilot_pool	परेशन	परेशान	परेषण	परेशां
pati	14	pilot_pool	पति	पाटी	पटी	पती
pta	14	pilot_pool	पीटीए	पटा	पिटा	प्ता
rakho	14	pilot_pool	रखो	राखो	रखों	रको
ruk	14	pilot_pool	रुक	रूक	रोक	रक
saala	14	pilot_pool	साला	साल	शाला	साले
seedha	14	pilot_pool	सीधा	सीढ़ा	सीढा	सीढ़
since	14	pilot_pool	सिंस	साइंस	सिन्स	सिंसे
sirji	14	pilot_pool	सिरजी	सरजी	सीरजी	सिरजि
srk	14	pilot_pool	सर्क	सरक	स्र्क	स्रक
suresh	14	pilot_pool	सुरेश	सूरेश	सुरेष	शुरेश
tym	14	pilot_pool	टीम	टिम	टाइम	टिम्‌
udhaar	14	pilot_pool	उधार	ऊधार	उदार	उधार्‌
aag	13	pilot_pool	आग	अग	अग्‌	आग्‌
abi	13	pilot_pool	अबी	आबी	अबि	अबीई
agle	13	pilot_pool	अगले	एगल	आगले	एगले
angrezi	13	pilot_pool	अंग्रेजी	अंगरेज़ी	अंगरेजी	अंग्रेजि
bachche	13	pilot_pool	बच्चे	बच्छे	बचचे	बछे
badiya	13	pilot_pool	बडिया	बड़िया	बदिया	बाडिया
banne	13	pilot_pool	बन्ने	बनने	बाने	बन्नी
barkha	13	pilot_pool	बरखा	बारखा	बर्खा	बार्खा
bharosa	13	pilot_pool	भरोसा	भरौसा	बरोसा	भरोस
bht	13	pilot_pool	भट	भट्‌	बहत	भत
chaar	13	pilot_pool	चार	छार	चार्‌	चर
chatpatidiary	13	pilot_pool	चैटपेटीडायरी	चैटपेटिडियरी	चटपटीदियारी	चैटपेटीडियरी
chutti	13	pilot_pool	छुट्टी	चुट्टी	चट्टी	चुत्ती
dhoka	13	pilot_pool	धोका	ढोका	ढोक	डोका
dukaan	13	pilot_pool	दुकान	दुकां	दुकाँ	दूकां
gaane	13	pilot_pool	गाने	गाणे	गानें	गांने
hamein	13	pilot_pool	हमें	हमैं	हामें	हमीं
hitennarendra	13	pilot_pool	हितेन्नरेंद्र	हितेन्नरेन्द्र	हितेन्नारेंद्र	हितेन्नरेंद्रा
idhar	13	pilot_pool	इधर	इधार	ईधर	इद्धर
im	13	pilot_pool	इम	ईम	इम्‌	ईम्‌
indvsban	13	pilot_pool	इंडव्सबैन	इंडव्सबन	इंडवस्बैन	इंडव्स्बन
inki	13	pilot_pool	इनकी	इंकी	इन्की	इंकि
issi	13	pilot_pool	इस्सी	इसी	ईस्सी	इस्सि
jal	13	pilot_pool	जल	जाल	जेएल	जल्‌
janam	13	pilot_pool	जनम	जन्म	जानम	जनम्‌
kanhaiya	13	pilot_pool	कन्हैया	कन्हइया	कनहैया	कान्हैया
kaunsa	13	pilot_pool	कौंसा	कौंस	कॉन्सा	काउंसा
khas	13	pilot_pool	खास	खस	खस्‌	ख़स
khoob	13	pilot_pool	खूब	ख़ूब	खुब	खोब
krna	13	pilot_pool	करना	कर्णा	कर्ना	कर्ण
kyo	13	pilot_pool	क्यो	कयो	कियो	केयो
mehnat	13	pilot_pool	मेहनत	महनत	महेनत	महनात
mildlyclassic	13	pilot_pool	माइल्डलाइक्लासिक	माइल्डलाईक्लासिक	मिल्डलाइक्लासिक	माइल्डलीक्लासिक
pani	13	pilot_pool	पानी	पनी	पाणी	पनि
pvsindhu	13	pilot_pool	पीवीसिंधु	पीवीसिंधू	पीवीसिन्धु	पवसिंधु
rakhna	13	pilot_pool	रखना	राखना	रख्ना	राखणा
saab	13	pilot_pool	साब	सब	सॉब	साभ
samjh	13	pilot_pool	समझ	सम्झ	सामझ	संझ
thevacuumhead	13	pilot_pool	थेवाक्यूमहेड	थेवेक्यूमहेड	थेवक्यूमहेड	थेवैक्यूमहेड
vishwas	13	pilot_pool	विश्वास	विश्वस	विशवास	विश्वाज
wanna	13	pilot_pool	वन्ना	वाना	वना	वन्न
yadav	13	pilot_pool	यादव	यदव	याधव	याडव
yahin	13	pilot_pool	यहीं	याहीं	यहिं	याहिन
aankhein	12	pilot_pool	आंखें	आँखें	आंखे	आँखे
aayenge	12	pilot_pool	आएंगे	आयेंगे	आएँगे	आयेगे
afridi	12	pilot_pool	अफरीदी	अफ्रीदी	आफ्रीदी	अफ़रीदी
ajeeb	12	pilot_pool	अजीब	आजीब	अज़ीब	अजिब
anyone	12	pilot_pool	अन्योने	अन्योन	अनयोने	अन्योणे
baate	12	pilot_pool	बाते	बाटे	बते	बटे
bahaar	12	pilot_pool	बहार	बाहार	बाहर	बहर
bahane	12	pilot_pool	बहने	बहाने	बहाणे	बाहने
bahu	12	pilot_pool	बहु	बहू	बाहू	बाहु
baloch	12	pilot_pool	बलोच	बालोच	बलोक	बालोक
banda	12	pilot_pool	बांदा	बंदा	बांडा	बंडा
bech	12	pilot_pool	बेच	बैच	बेक	बेच्‌
bhaijan	12	pilot_pool	भाईजान	भाईजन	भैजन	भाइजन
bhopal	12	pilot_pool	भोपाल	भोपल	भूपाल	भौपाल
bulaya	12	pilot_pool	बुलाया	बुलया	बुलाय	बुलय
byomkesbakshi	12	pilot_pool	ब्योमकेसबक्षी	ब्योम्केसबक्षी	ब्योमकेसबक्शी	ब्योमकेसबख्शी
chand	12	pilot_pool	चंद	चांद	चन्द	चांड
